City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,amalapuram,16.5833,82.0167,24.88,87,31,1.28,IN,1680035938
306,huambo,-12.7761,15.7392,16.22,93,100,1.92,AO,1680035938
307,morelia,19.7008,-101.1844,29.52,12,0,2.86,MX,1680035938
308,tilichiki,60.4667,166.1,-10.43,92,28,2.58,RU,1680035590
309,bardiyah,31.7561,25.0865,15.49,73,0,9.09,LY,1680035829
310,saldus,56.6636,22.4881,-2.06,74,62,5.34,LV,1680035938
311,husavik,66.0449,-17.3389,-6.62,86,96,5.07,IS,1680035652
312,kusti,13.1629,32.6635,28.05,9,78,5.49,SD,1680035939
313,boddam,57.4667,-1.7833,6.21,94,100,5.71,GB,1680035939
314,pokosnoye,55.5258,101.0536,1.9,98,100,4.43,RU,1680035939
315,saint george,37.1041,-113.5841,17.92,15,0,6.17,US,1680035759
316,udachnyy,66.4167,112.4,-28.78,100,100,1.39,RU,1680035802
317,espinosa,-14.9261,-42.8192,28.24,25,100,2.3,BR,1680035940
318,pevek,69.7008,170.3133,-16.17,80,13,7.76,RU,1680035758
319,ulaanbaatar,47.9077,106.8832,-5.93,73,0,1.0,MN,1680035799
320,nouadhibou,20.931,-17.0347,18.99,88,27,7.72,MR,1680035748
321,souillac,-20.5167,57.5167,24.21,83,20,1.54,MU,1680035796
322,tura,25.5198,90.2201,21.14,70,48,1.72,IN,1680035940
323,lanzhou,36.0564,103.7922,9.4,48,80,1.12,CN,1680035940
324,natalio,-26.7167,-55.0833,30.16,48,99,0.61,PY,1680035940
325,santa cruz cabralia,-16.2781,-39.0247,27.13,69,40,3.6,BR,1680035940
326,srednekolymsk,67.45,153.6833,-14.14,82,80,3.1,RU,1680035796
327,dauphin,51.1494,-100.0502,-7.92,53,40,10.29,CA,1680035941
328,maxixe,-23.8597,35.3472,20.26,67,0,2.41,MZ,1680035941
329,yulara,-25.2406,130.9889,21.28,74,99,4.7,AU,1680035800
330,skibbereen,51.55,-9.2667,11.17,95,100,3.69,IE,1680035941
331,reconquista,-29.15,-59.65,31.74,40,0,2.49,AR,1680035941
332,takoradi,4.8845,-1.7554,27.42,82,16,3.57,GH,1680035856
333,vigrestad,58.5667,5.7,2.82,95,100,2.78,NO,1680035942
334,manggar,-2.8833,108.2667,25.87,84,65,2.2,ID,1680035942
335,sitka,57.0531,-135.33,4.94,75,100,3.6,US,1680035809
336,seddon,-37.8068,144.8916,16.97,84,75,4.63,AU,1680035942
337,kiama,-34.6833,150.8667,19.65,90,97,1.34,AU,1680035942
338,usolye,59.4268,56.6808,-5.88,86,33,3.68,RU,1680035943
339,port macquarie,-31.4333,152.9167,19.38,94,100,4.05,AU,1680035943
340,wencheng,33.0559,113.7978,10.21,55,34,1.11,CN,1680035944
341,kyra,49.5776,111.9753,-1.75,76,69,2.08,RU,1680035944
342,manuk mangkaw,4.8,119.85,27.01,80,100,4.92,PH,1680035944
343,nouakchott,18.0858,-15.9785,23.96,61,0,6.47,MR,1680035944
344,promyshlennyy,67.5833,63.9167,-17.25,96,99,5.31,RU,1680035945
345,ostrovnoy,68.0531,39.5131,-12.6,94,76,4.03,RU,1680035654
346,antalaha,-14.9003,50.2788,24.52,89,85,1.31,MG,1680035798
347,poli,-3.3333,36.8,16.48,92,100,0.55,TZ,1680035945
348,honningsvag,70.9821,25.9704,-2.14,86,75,2.06,NO,1680035787
349,paranhos,-23.8928,-55.4311,25.86,81,35,2.51,BR,1680035946
350,chumikan,54.7183,135.315,-2.44,91,100,1.44,RU,1680035946
351,darnah,32.767,22.6367,15.1,70,0,11.35,LY,1680035946
352,ovalle,-30.5983,-71.2003,28.63,40,0,3.05,CL,1680035352
353,lac du bonnet,50.2536,-96.0612,-8.43,67,100,4.01,CA,1680035805
354,fowa,8.9167,6.4,31.01,15,16,0.93,NG,1680035946
355,pujehun,7.3581,-11.7208,26.52,78,9,1.74,SL,1680035946
356,flin flon,54.7682,-101.865,-10.09,37,0,5.66,CA,1680035843
357,dong xoai,11.5333,106.9167,23.06,92,76,1.13,VN,1680035947
358,dimbokro,6.6451,-4.7048,26.64,72,86,1.71,CI,1680035947
359,troitskoye,52.9821,84.6757,0.27,99,100,2.26,RU,1680035947
360,lazaro cardenas,17.9583,-102.2,28.62,52,0,4.7,MX,1680035948
361,male,4.1748,73.5089,27.97,89,40,2.57,MV,1680035948
362,narodychi,51.2029,29.0823,-1.91,92,100,10.44,UA,1680035949
363,rio brilhante,-21.8019,-54.5464,26.52,81,3,2.47,BR,1680035949
364,mendi,-6.1761,143.6513,10.83,94,97,1.79,PG,1680035949
365,wilmington,34.2257,-77.9447,20.48,64,0,5.66,US,1680035773
366,sao filipe,14.8961,-24.4956,24.56,68,0,5.4,CV,1680035763
